Name,Country,Latitude,Longitude
Kabul,Afghanistan,34.52813,69.17233
Mariehamn,Aland Islands,60.09726,19.93481
Tirana,Albania,41.32744,19.81866
Algiers,Algeria,36.73225,3.08746
Pago Pago,American Samoa,-14.27806,-170.7025
Andorra la Vella,Andorra,42.50779,1.52109
Luanda,Angola,-8.83682,13.23432
The Valley,Anguilla,18.21704,-63.05783
Buenos Aires,Argentina,-34.61315,-58.37723
Yerevan,Armenia,40.17765,44.5126
Oranjestad,Aruba,12.52398,-70.02703
Canberra,Australia,-35.28346,149.12807
Melbourne,Australia,-37.814,144.96332
Sydney,Australia,-33.86785,151.20732
Vienna,Austria,48.20849,16.37208
Baku,Azerbaijan,40.37767,49.89201
Nassau,Bahamas,25.05823,-77.34306
Manama,Bahrain,26.22787,50.58565
Chattogram,Bangladesh,22.3384,91.83168
Dhaka,Bangladesh,23.7104,90.40744
Bridgetown,Barbados,13.10732,-59.62021
Minsk,Belarus,53.90019,27.56653
Brussels,Belgium,50.85045,4.34878
Belmopan,Belize,17.25376,-88.76401
Porto-Novo,Benin,6.49646,2.60359
Hamilton,Bermuda,32.2949,-64.78303
Thimphu,Bhutan,27.46609,89.64191
Sucre,Bolivia,-19.03332,-65.26274
Sarajevo,Bosnia and Herzegovina,43.84864,18.35644
Gaborone,Botswana,-24.65451,25.90859
Rio de Janeiro,Brazil,-22.90642,-43.18223
São Paulo,Brazil,-23.5475,-46.63611
Road Town,British Virgin Islands,18.42693,-64.62079
Bandar Seri Begawan,Brunei,4.89035,114.94006
Sofia,Bulgaria,42.69751,23.32415
Ouagadougou,Burkina Faso,12.36566,-1.53388
Gitega,Burundi,-3.42708,29.92463
Praia,Cabo Verde,14.93152,-23.51254
Phnom Penh,Cambodia,11.56245,104.91601
Ottawa,Canada,45.41117,-75.69812
George Town,Cayman Islands,19.2866,-81.37436
Bangui,Central African Republic,4.36122,18.55496
N'Djamena,Chad,12.10672,15.0444
Santiago,Chile,-33.45694,-70.64827
Bao'an,China,22.55213,113.88288
Beijing,China,39.9075,116.39723
Changchun,China,43.88,125.32278
Chengdu,China,30.66667,104.06667
Chongqing,China,29.56026,106.55771
Dalian,China,38.91222,121.60222
Dongguan,China,23.01797,113.74866
Foshan,China,23.02677,113.13148
Fuzhou,China,26.06139,119.30611
Guangzhou,China,23.11667,113.25
Hangzhou,China,30.29365,120.16142
Harbin,China,45.75,126.65
Hefei,China,31.86389,117.28083
Jinan,China,36.66833,116.99722
Kunming,China,25.03889,102.71833
Nanjing,China,32.06167,118.77778
Nanning,China,22.81667,108.31667
Ningbo,China,29.87819,121.54945
Puyang,China,29.45679,119.88872
Qingdao,China,36.06488,120.38042
Shanghai,China,31.22222,121.45806
Shantou,China,23.35489,116.67876
Shenyang,China,41.79222,123.43278
Shenzhen,China,22.54554,114.0683
Shijiazhuang,China,38.04139,114.47861
Shiyan,China,32.6475,110.77806
Suzhou,China,31.30408,120.59538
Taiyuan,China,37.86944,112.56028
Tangshan,China,39.64381,118.18319
Tianjin,China,39.14222,117.17667
Wuhan,China,30.58333,114.26667
Wuxi,China,31.56887,120.28857
Xiamen,China,24.47979,118.08187
Xi’an,China,34.25833,108.92861
Zhengzhou,China,34.75778,113.64861
Zhongshan,China,22.52306,113.37912
Flying Fish Cove,Christmas Island,-10.42172,105.67912
West Island,Cocos Islands,-12.15681,96.82251
Bogotá,Colombia,4.60971,-74.08175
Moroni,Comoros,-11.70216,43.25506
Avarua,Cook Islands,-21.2075,-159.77546
Zagreb,Croatia,45.81444,15.97798
Havana,Cuba,23.13302,-82.38304
Nicosia,Cyprus,35.17284,33.35397
Prague,Czechia,50.08804,14.42076
Kinshasa,Democratic Republic of the Congo,-4.32758,15.31357
Copenhagen,Denmark,55.67594,12.56553
Djibouti,Djibouti,11.58901,43.14503
Roseau,Dominica,15.30174,-61.38808
Santo Domingo,Dominican Republic,18.47186,-69.89232
Quito,Ecuador,-0.22985,-78.52495
Alexandria,Egypt,31.20176,29.91582
Cairo,Egypt,30.06263,31.24967
Giza,Egypt,30.00944,31.20861
San Salvador,El Salvador,13.68935,-89.18718
Malabo,Equatorial Guinea,3.75578,8.78166
Asmara,Eritrea,15.33805,38.93184
Tallinn,Estonia,59.43696,24.75353
Mbabane,Eswatini,-26.31667,31.13333
Addis Ababa,Ethiopia,9.02497,38.74689
Stanley,Falkland Islands,-51.69382,-57.85701
Suva,Fiji,-18.13683,178.42531
Helsinki,Finland,60.16952,24.93545
Marseille,France,43.29695,5.38107
Paris,France,48.85341,2.3488
Cayenne,French Guiana,4.9381,-52.33455
Papeete,French Polynesia,-17.5347,-149.56843
Libreville,Gabon,0.39241,9.45356
Banjul,Gambia,13.45274,-16.57803
Tbilisi,Georgia,41.69143,44.83412
Berlin,Germany,52.52437,13.41053
Hamburg,Germany,53.55073,9.99302
Köln,Germany,50.93333,6.95
Munich,Germany,48.13743,11.57549
Accra,Ghana,5.55602,-0.1969
Gibraltar,Gibraltar,36.14474,-5.35257
Athens,Greece,37.98376,23.72784
Nuuk,Greenland,64.18347,-51.72157
Basse-Terre,Guadeloupe,15.99714,-61.73214
Guatemala City,Guatemala,14.64072,-90.51327
Conakry,Guinea,9.53795,-13.67729
Bissau,Guinea-Bissau,11.86357,-15.59767
Georgetown,Guyana,6.80448,-58.15527
Port-au-Prince,Haiti,18.54349,-72.33881
Tegucigalpa,Honduras,14.0818,-87.20681
Hong Kong,Hong Kong,22.27832,114.17469
New Territories,Hong Kong,22.42441,114.11095
Budapest,Hungary,47.49835,19.04045
Ahmedabad,India,23.02579,72.58727
Bengaluru,India,12.97194,77.59369
Chennai,India,13.08784,80.27847
Delhi,India,28.65195,77.23149
Hyderabad,India,17.38405,78.45636
Kolkata,India,22.56263,88.36304
Mumbai,India,19.07283,72.88261
New Delhi,India,28.62137,77.2148
Surat,India,21.19594,72.83023
Jakarta,Indonesia,-6.21462,106.84513
Tehran,Iran,35.69439,51.42151
Baghdad,Iraq,33.34058,44.40088
Dublin,Ireland,53.33306,-6.24889
Douglas,Isle of Man,54.15,-4.48333
Jerusalem,Israel,31.76904,35.21633
Milan,Italy,45.46427,9.18951
Naples,Italy,40.85216,14.26811
Rome,Italy,41.89193,12.51133
Turin,Italy,45.07049,7.68682
Abidjan,Ivory Coast,5.35444,-4.00167
Yamoussoukro,Ivory Coast,6.82055,-5.27674
Kingston,Jamaica,17.99702,-76.79358
Tokyo,Japan,35.6895,139.69171
Yokohama,Japan,35.43333,139.65
Saint Helier,Jersey,49.18804,-2.10491
Amman,Jordan,31.95522,35.94503
Nairobi,Kenya,-1.28333,36.81667
Tarawa,Kiribati,1.3278,172.97696
Pristina,Kosovo,42.67272,21.16688
Kuwait City,Kuwait,29.367,47.97429
Bishkek,Kyrgyzstan,42.87,74.59
Vientiane,Laos,17.96667,102.6
Riga,Latvia,56.946,24.10589
Beirut,Lebanon,33.89332,35.50157
Maseru,Lesotho,-29.31667,27.48333
Monrovia,Liberia,6.30054,-10.7969
Tripoli,Libya,32.88743,13.18733
Vaduz,Liechtenstein,47.14151,9.52154
Vilnius,Lithuania,54.68916,25.2798
Luxembourg,Luxembourg,49.60982,6.13268
Antananarivo,Madagascar,-18.91368,47.53613
Lilongwe,Malawi,-13.96692,33.78725
Kuala Lumpur,Malaysia,3.1412,101.68653
Male,Maldives,4.17521,73.50916
Bamako,Mali,12.60915,-7.97522
Valletta,Malta,35.89968,14.5148
Majuro,Marshall Islands,7.08971,171.38027
Fort-de-France,Martinique,14.60365,-61.07418
Nouakchott,Mauritania,18.08581,-15.9785
Port Louis,Mauritius,-20.16194,57.49889
Mamoudzou,Mayotte,-12.78234,45.22878
Mexico City,Mexico,19.42847,-99.12766
Palikir,Micronesia,6.92477,158.16109
Chisinau,Moldova,47.00902,28.85938
Monaco,Monaco,43.73718,7.42145
Podgorica,Montenegro,42.44124,19.26309
Plymouth,Montserrat,16.70555,-62.21292
Casablanca,Morocco,33.58831,-7.61138
Rabat,Morocco,34.01325,-6.83255
Maputo,Mozambique,-25.96553,32.58322
Nay Pyi Taw,Myanmar,19.745,96.12972
Yangon,Myanmar,16.80528,96.15611
Windhoek,Namibia,-22.55941,17.08323
Yaren,Nauru,-0.55085,166.9252
Kathmandu,Nepal,27.70169,85.3206
Wellington,New Zealand,-41.28664,174.77557
Managua,Nicaragua,12.13282,-86.2504
Niamey,Niger,13.51366,2.1098
Abuja,Nigeria,9.05785,7.49508
Ibadan,Nigeria,7.37756,3.90591
Kano,Nigeria,12.00012,8.51672
Lagos,Nigeria,6.45407,3.39467
Alofi,Niue,-19.05294,-169.91957
Kingston,Norfolk Island,-29.05459,167.96628
Pyongyang,North Korea,39.03385,125.75432
Skopje,North Macedonia,41.99646,21.43141
Saipan,Northern Mariana Islands,15.21233,145.7545
Oslo,Norway,59.91273,10.74609
Muscat,Oman,23.58413,58.40778
Faisalabad,Pakistan,31.41554,73.08969
Islamabad,Pakistan,33.72148,73.04329
Karachi,Pakistan,24.8608,67.0104
Lahore,Pakistan,31.558,74.35071
Peshawar,Pakistan,34.008,71.57849
East Jerusalem,Palestinian Territory,31.78336,35.23388
Port Moresby,Papua New Guinea,-9.47723,147.15089
Lima,Peru,-12.04318,-77.02824
Manila,Philippines,14.6042,120.9822
Adamstown,Pitcairn,-25.06597,-130.10147
Warsaw,Poland,52.22977,21.01178
Lisbon,Portugal,38.72509,-9.1498
San Juan,Puerto Rico,18.46633,-66.10572
Doha,Qatar,25.28545,51.53096
Brazzaville,Republic of the Congo,-4.26613,15.28318
Saint-Denis,Reunion,-20.88231,55.4504
Bucharest,Romania,44.43225,26.10626
Chelyabinsk,Russia,55.1611,61.42877
Kazan,Russia,55.78874,49.12214
Krasnodar,Russia,45.04534,38.98178
Krasnoyarsk,Russia,56.03742,92.93136
Moscow,Russia,55.75204,37.61781
Nizhniy Novgorod,Russia,56.32867,44.00205
Novosibirsk,Russia,55.02259,82.93175
Omsk,Russia,54.99244,73.36859
Perm,Russia,58.01046,56.25017
Rostov-na-Donu,Russia,47.21997,39.70769
Saint Petersburg,Russia,59.93863,30.31413
Samara,Russia,53.20767,50.13553
Saratov,Russia,51.54048,45.9901
Ufa,Russia,54.74306,55.96779
Volgograd,Russia,48.71378,44.4976
Voronezh,Russia,51.66833,39.19204
Yekaterinburg,Russia,56.85733,60.61529
Kigali,Rwanda,-1.94995,30.05885
Gustavia,Saint Barthelemy,17.89618,-62.84978
Jamestown,Saint Helena,-15.92488,-5.71816
Basseterre,Saint Kitts and Nevis,17.2955,-62.72499
Castries,Saint Lucia,13.9957,-61.00614
Marigot,Saint Martin,18.06819,-63.08302
Saint-Pierre,Saint Pierre and Miquelon,46.77914,-56.1773
Kingstown,Saint Vincent and the Grenadines,13.15527,-61.22742
Apia,Samoa,-13.83333,-171.76666
San Marino,San Marino,43.93667,12.44639
Jeddah,Saudi Arabia,21.49012,39.18624
Riyadh,Saudi Arabia,24.68773,46.72185
Dakar,Senegal,14.6937,-17.44406
Belgrade,Serbia,44.80401,20.46513
Victoria,Seychelles,-4.62001,55.45501
Freetown,Sierra Leone,8.48714,-13.2356
Singapore,Singapore,1.28967,103.85007
Philipsburg,Sint Maarten,18.026,-63.04582
Bratislava,Slovakia,48.14816,17.10674
Ljubljana,Slovenia,46.05108,14.50513
Honiara,Solomon Islands,-9.43333,159.95
Mogadishu,Somalia,2.03711,45.34375
Cape Town,South Africa,-33.92584,18.42322
Johannesburg,South Africa,-26.20227,28.04363
Pretoria,South Africa,-25.74486,28.18783
Grytviken,South Georgia and the South Sandwich Islands,-54.28111,-36.5092
Seoul,South Korea,37.566,126.9784
Juba,South Sudan,4.85165,31.58247
Barcelona,Spain,41.38879,2.15899
Madrid,Spain,40.4165,-3.70256
Colombo,Sri Lanka,6.93548,79.84868
Khartoum,Sudan,15.55177,32.53241
Paramaribo,Suriname,5.86638,-55.16682
Longyearbyen,Svalbard and Jan Mayen,78.22334,15.64689
Göteborg,Sweden,57.70716,11.96679
Linköping,Sweden,58.41086,15.62157
Malmö,Sweden,55.60587,13.00073
Stockholm,Sweden,59.32938,18.06871
Uppsala,Sweden,59.85882,17.63889
Bern,Switzerland,46.94809,7.44744
Damascus,Syria,33.5102,36.29128
New Taipei City,Taiwan,25.06199,121.45703
Taipei,Taiwan,25.05306,121.52639
Dushanbe,Tajikistan,38.53575,68.77905
Dar es Salaam,Tanzania,-6.82349,39.26951
Dodoma,Tanzania,-6.17221,35.73947
Bangkok,Thailand,13.75398,100.50144
Amsterdam,The Netherlands,52.37403,4.88969
Rotterdam,The Netherlands,51.9225,4.47917
Dili,Timor Leste,-8.55861,125.57361
Port of Spain,Trinidad and Tobago,10.66668,-61.51889
Tunis,Tunisia,36.81897,10.16579
Ankara,Turkey,39.91987,32.85427
Istanbul,Turkey,41.01384,28.94966
Ashgabat,Turkmenistan,37.95,58.38333
Cockburn Town,Turks and Caicos Islands,21.46122,-71.14188
Funafuti,Tuvalu,-8.52425,179.19417
Charlotte Amalie,U.S. Virgin Islands,18.3419,-64.9307
Kampala,Uganda,0.31628,32.58219
Dnipro,Ukraine,48.46664,35.04066
Donetsk,Ukraine,48.023,37.80224
Kharkiv,Ukraine,49.98177,36.25475
Kyiv,Ukraine,50.45466,30.5238
Odesa,Ukraine,46.48572,30.74383
Abu Dhabi,United Arab Emirates,24.45118,54.39696
Dubai,United Arab Emirates,25.07725,55.30927
Birmingham,United Kingdom,52.48142,-1.89983
London,United Kingdom,51.50853,-0.12574
Austin,United States,30.26715,-97.74306
Boston,United States,42.35843,-71.05977
Brooklyn,United States,40.6501,-73.94958
Charlotte,United States,35.22709,-80.84313
Chicago,United States,41.85003,-87.65005
Columbus,United States,39.96118,-82.99879
Dallas,United States,32.78306,-96.80667
Denver,United States,39.73915,-104.9847
Detroit,United States,42.33143,-83.04575
El Paso,United States,31.75872,-106.48693
Fort Worth,United States,32.72541,-97.32085
Houston,United States,29.76328,-95.36327
Indianapolis,United States,39.76838,-86.15804
Jacksonville,United States,30.33218,-81.65565
Los Angeles,United States,34.05223,-118.24368
Manhattan,United States,40.78343,-73.96625
Nashville,United States,36.16589,-86.78444
New York City,United States,40.71427,-74.00597
Oklahoma City,United States,35.46756,-97.51643
Philadelphia,United States,39.95238,-75.16362
Phoenix,United States,33.44838,-112.07404
Portland,United States,45.52345,-122.67621
Queens,United States,40.68149,-73.83652
San Antonio,United States,29.42412,-98.49363
San Diego,United States,32.71571,-117.16472
San Francisco,United States,37.77493,-122.41942
San Jose,United States,37.33939,-121.89496
Seattle,United States,47.60621,-122.33207
The Bronx,United States,40.84985,-73.86641
Washington,United States,38.89511,-77.03637
Montevideo,Uruguay,-34.90328,-56.18816
Tashkent,Uzbekistan,41.26465,69.21627
Vatican City,Vatican,41.90268,12.45414
Caracas,Venezuela,10.48801,-66.87919
Hanoi,Vietnam,21.0245,105.84117
Ho Chi Minh City,Vietnam,10.82302,106.62965
Sanaa,Yemen,15.35452,44.20646
Lusaka,Zambia,-15.40669,28.28713
Harare,Zimbabwe,-17.82772,31.05337
